metric,model,est,ci_lb,ci_ub,LR_test_p
sensitivity,3-level,0.8969211260664642,0.8818750125054186,0.9102458020330639,NA
sensitivity,2-level,NA,0.8819108097084055,0.909475246178345,NA
specificity,3-level,0.9038767009114611,0.8908094826140892,0.9155284070468309,NA
specificity,2-level,NA,0.8927774423533373,0.9115680062370676,NA
