comparator,metric,est,ci_lb,ci_ub
ai-alone,sensitivity,0.897064333019745,0.8816471819274851,0.9106766489275279
ai-alone,specificity,0.9038767009109251,0.8908094826158803,0.9155284070444529
clinicians,sensitivity,0.8577894161266928,0.7831164146069909,0.9097165377940617
clinicians,specificity,0.9324473789972775,0.9202076825318104,0.9429260224163132
ai-assist,sensitivity,0.8950663431709343,0.6298950100805859,0.9771429338441642
ai-assist,specificity,0.9387628860897679,0.8993779495993458,0.9633600143572143
